    132.81 1.939394e+01 1.385617e+03 3.763395e+01 5.314350e-01
    132.81 1.733418e+01 1.232438e+03 3.362175e+01 5.948530e-01
    398.44 2.058083e+01 2.130833e+03 4.048862e+01 1.481898e+00
    664.06 2.061256e+01 2.364625e+03 4.067613e+01 2.458444e+00
    929.69 2.019205e+01 2.460976e+03 3.991982e+01 3.507030e+00
   1195.31 2.068885e+01 2.622683e+03 4.094587e+01 4.396048e+00
   1460.94 2.027343e+01 2.638776e+03 4.014808e+01 5.479714e+00
   1726.56 2.045856e+01 2.689006e+03 4.052952e+01 6.415077e+00
   1992.19 2.076123e+01 2.775208e+03 4.114482e+01 7.291319e+00
   2257.81 2.022861e+01 2.719043e+03 4.008842e+01 8.481252e+00
   2523.44 2.055588e+01 2.779037e+03 4.075297e+01 9.324473e+00
   2789.06 2.056483e+01 2.774511e+03 4.077297e+01 1.030094e+01
   3054.69 2.041165e+01 2.325182e+03 4.041796e+01 1.138108e+01
   3320.31 2.063020e+01 2.275996e+03 4.084453e+01 1.224154e+01
   6117.19 2.070835e+01 2.337419e+03 4.101085e+01 1.316725e+01
   6570.31 2.071133e+01 2.372499e+03 4.102161e+01 1.413889e+01
   7023.44 2.071169e+01 2.406982e+03 4.103315e+01 1.510974e+01
   7476.56 2.056301e+01 2.426274e+03 4.074451e+01 1.619850e+01
   7929.69 2.055330e+01 2.465379e+03 4.073219e+01 1.718543e+01
   8382.81 2.056818e+01 2.477485e+03 4.076194e+01 1.815419e+01
   8835.94 2.058009e+01 2.493160e+03 4.078898e+01 1.912281e+01
   9289.06 2.055473e+01 2.514319e+03 4.074121e+01 2.012704e+01
   9742.19 2.057127e+01 2.527969e+03 4.077644e+01 2.109061e+01
  10195.31 2.048092e+01 2.557647e+03 4.060853e+01 2.216283e+01
  10648.44 2.051416e+01 2.562355e+03 4.067261e+01 2.311138e+01
  11101.56 2.060804e+01 2.593430e+03 4.086231e+01 2.398298e+01
